             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
      10178734_321   regular smina_do  p275927  R    9:14:26      1 pg-node060
      10178734_322   regular smina_do  p275927  R    9:14:26      1 pg-node102
      10178734_327   regular smina_do  p275927  R    9:14:26      1 pg-node048
      10178734_330   regular smina_do  p275927  R    9:14:26      1 pg-node139
      10178734_331   regular smina_do  p275927  R    9:14:26      1 pg-node139
      10178734_319   regular smina_do  p275927  R    9:15:27      1 pg-node160
      10178734_367   regular smina_do  p275927  R    9:06:18      1 pg-node163
      10178734_350   regular smina_do  p275927  R    9:10:22      1 pg-node048
      10178734_372   regular smina_do  p275927  R    9:02:15      1 pg-node135
      10178734_384   regular smina_do  p275927  R    8:56:09      1 pg-node206
      10178734_379   regular smina_do  p275927  R    8:57:10      1 pg-node142
      10178734_378   regular smina_do  p275927  R    8:58:11      1 pg-node170
      10178734_376   regular smina_do  p275927  R    8:59:12      1 pg-node202
      10178734_375   regular smina_do  p275927  R    9:00:13      1 pg-node192
      10178734_401   regular smina_do  p275927  R    8:52:05      1 pg-node024
      10178734_390   regular smina_do  p275927  R    8:54:07      1 pg-node174
      10178734_385   regular smina_do  p275927  R    8:55:08      1 pg-node084
      10178734_422   regular smina_do  p275927  R    8:45:58      1 pg-node185
      10178734_423   regular smina_do  p275927  R    8:45:58      1 pg-node103
      10178734_416   regular smina_do  p275927  R    8:46:59      1 pg-node138
      10178734_411   regular smina_do  p275927  R    8:50:03      1 pg-node086
      10178734_428   regular smina_do  p275927  R    8:44:57      1 pg-node051
      10178734_467   regular smina_do  p275927  R    8:35:47      1 pg-node152
      10178734_461   regular smina_do  p275927  R    8:37:50      1 pg-node043
      10178734_455   regular smina_do  p275927  R    8:39:52      1 pg-node103
      10178734_473   regular smina_do  p275927  R    8:32:45      1 pg-node172
      10178734_501   regular smina_do  p275927  R    8:18:28      1 pg-node080
      10178734_496   regular smina_do  p275927  R    8:20:30      1 pg-node071
      10178734_513   regular smina_do  p275927  R    8:11:22      1 pg-node133
      10178734_547   regular smina_do  p275927  R    8:01:12      1 pg-node132
      10178734_538   regular smina_do  p275927  R    8:02:13      1 pg-node029
      10178734_539   regular smina_do  p275927  R    8:02:13      1 pg-node055
      10178734_541   regular smina_do  p275927  R    8:02:13      1 pg-node105
      10178734_542   regular smina_do  p275927  R    8:02:13      1 pg-node109
      10178734_588   regular smina_do  p275927  R    7:45:55      1 pg-node078
      10178734_589   regular smina_do  p275927  R    7:45:55      1 pg-node143
      10178734_586   regular smina_do  p275927  R    7:46:56      1 pg-node143
      10178734_585   regular smina_do  p275927  R    7:46:57      1 pg-node039
      10178734_581   regular smina_do  p275927  R    7:47:58      1 pg-node109
      10178734_582   regular smina_do  p275927  R    7:47:58      1 pg-node137
      10178734_583   regular smina_do  p275927  R    7:47:58      1 pg-node161
      10178734_579   regular smina_do  p275927  R    7:48:59      1 pg-node154
      10178734_580   regular smina_do  p275927  R    7:48:59      1 pg-node177
      10178734_594   regular smina_do  p275927  R    7:41:49      1 pg-node084
      10178734_646   regular smina_do  p275927  R    7:28:35      1 pg-node182
      10178734_639   regular smina_do  p275927  R    7:30:37      1 pg-node108
      10178734_640   regular smina_do  p275927  R    7:30:37      1 pg-node121
      10178734_641   regular smina_do  p275927  R    7:30:37      1 pg-node125
      10178734_642   regular smina_do  p275927  R    7:30:37      1 pg-node157
      10178734_643   regular smina_do  p275927  R    7:30:37      1 pg-node159
      10178734_644   regular smina_do  p275927  R    7:30:37      1 pg-node160
      10178734_645   regular smina_do  p275927  R    7:30:37      1 pg-node160
      10178734_638   regular smina_do  p275927  R    7:31:38      1 pg-node085
      10178734_635   regular smina_do  p275927  R    7:33:40      1 pg-node012
      10178734_636   regular smina_do  p275927  R    7:33:40      1 pg-node047
      10178734_637   regular smina_do  p275927  R    7:33:40      1 pg-node085
      10178734_634   regular smina_do  p275927  R    7:34:41      1 pg-node107
      10178734_631   regular smina_do  p275927  R    7:35:42      1 pg-node093
      10178734_632   regular smina_do  p275927  R    7:35:42      1 pg-node099
      10178734_633   regular smina_do  p275927  R    7:35:42      1 pg-node203
      10178734_627   regular smina_do  p275927  R    7:36:43      1 pg-node016
      10178734_628   regular smina_do  p275927  R    7:36:43      1 pg-node117
      10178734_629   regular smina_do  p275927  R    7:36:43      1 pg-node125
      10178734_630   regular smina_do  p275927  R    7:36:43      1 pg-node138
      10178734_625   regular smina_do  p275927  R    7:37:44      1 pg-node030
      10178734_626   regular smina_do  p275927  R    7:37:44      1 pg-node085
      10178734_616   regular smina_do  p275927  R    7:39:46      1 pg-node093
      10178734_656   regular smina_do  p275927  R    7:22:27      1 pg-node203
      10178734_651   regular smina_do  p275927  R    7:23:29      1 pg-node048
      10178734_649   regular smina_do  p275927  R    7:24:30      1 pg-node031
      10178734_650   regular smina_do  p275927  R    7:24:30      1 pg-node031
      10178734_647   regular smina_do  p275927  R    7:25:32      1 pg-node056
      10178734_667   regular smina_do  p275927  R    7:16:20      1 pg-node143
      10178734_680   regular smina_do  p275927  R    7:07:09      1 pg-node049
      10178734_679   regular smina_do  p275927  R    7:08:11      1 pg-node069
      10178734_677   regular smina_do  p275927  R    7:09:12      1 pg-node124
      10178734_688   regular smina_do  p275927  R    7:02:04      1 pg-node077
      10178734_689   regular smina_do  p275927  R    7:02:04      1 pg-node132
      10178734_690   regular smina_do  p275927  R    7:02:04      1 pg-node156
      10178734_691   regular smina_do  p275927  R    7:02:04      1 pg-node162
      10178734_693   regular smina_do  p275927  R    7:02:04      1 pg-node044
      10178734_685   regular smina_do  p275927  R    7:05:07      1 pg-node181
      10178734_699   regular smina_do  p275927  R    6:58:00      1 pg-node048
      10178734_695   regular smina_do  p275927  R    6:59:01      1 pg-node080
      10178734_696   regular smina_do  p275927  R    6:59:01      1 pg-node110
      10178734_698   regular smina_do  p275927  R    6:59:01      1 pg-node195
      10178734_709   regular smina_do  p275927  R    6:52:51      1 pg-node040
      10178734_704   regular smina_do  p275927  R    6:54:56      1 pg-node029
      10178734_762   regular smina_do  p275927  R    6:31:28      1 pg-node040
      10178734_756   regular smina_do  p275927  R    6:32:30      1 pg-node053
      10178734_737   regular smina_do  p275927  R    6:33:32      1 pg-node073
      10178734_738   regular smina_do  p275927  R    6:33:32      1 pg-node024
      10178734_739   regular smina_do  p275927  R    6:33:32      1 pg-node024
      10178734_740   regular smina_do  p275927  R    6:33:32      1 pg-node024
      10178734_741   regular smina_do  p275927  R    6:33:32      1 pg-node033
      10178734_742   regular smina_do  p275927  R    6:33:32      1 pg-node034
      10178734_743   regular smina_do  p275927  R    6:33:32      1 pg-node035
      10178734_745   regular smina_do  p275927  R    6:33:32      1 pg-node010
      10178734_746   regular smina_do  p275927  R    6:33:32      1 pg-node013
      10178734_751   regular smina_do  p275927  R    6:33:32      1 pg-node012
      10178734_752   regular smina_do  p275927  R    6:33:32      1 pg-node012
      10178734_732   regular smina_do  p275927  R    6:34:34      1 pg-node070
      10178734_735   regular smina_do  p275927  R    6:34:34      1 pg-node060
      10178734_736   regular smina_do  p275927  R    6:34:34      1 pg-node060
      10178734_727   regular smina_do  p275927  R    6:35:35      1 pg-node008
      10178734_723   regular smina_do  p275927  R    6:36:36      1 pg-node060
      10178734_724   regular smina_do  p275927  R    6:36:36      1 pg-node070
      10178734_726   regular smina_do  p275927  R    6:36:36      1 pg-node193
      10178734_715   regular smina_do  p275927  R    6:44:43      1 pg-node070
      10178734_774   regular smina_do  p275927  R    6:16:13      1 pg-node059
      10178734_772   regular smina_do  p275927  R    6:17:14      1 pg-node017
      10178734_771   regular smina_do  p275927  R    6:18:15      1 pg-node181
      10178734_775   regular smina_do  p275927  R    6:14:11      1 pg-node111
      10178734_780   regular smina_do  p275927  R    6:09:07      1 pg-node195
      10178734_804   regular smina_do  p275927  R    5:41:33      1 pg-node052
      10178734_799   regular smina_do  p275927  R    5:43:35      1 pg-node040
      10178734_793   regular smina_do  p275927  R    5:47:39      1 pg-node096
      10178734_794   regular smina_do  p275927  R    5:47:39      1 pg-node156
      10178734_790   regular smina_do  p275927  R    5:48:40      1 pg-node011
      10178734_791   regular smina_do  p275927  R    5:48:40      1 pg-node158
      10178734_792   regular smina_do  p275927  R    5:48:40      1 pg-node203
      10178734_788   regular smina_do  p275927  R    5:49:42      1 pg-node077
      10178734_786   regular smina_do  p275927  R    5:50:43      1 pg-node012
      10178734_784   regular smina_do  p275927  R    5:51:44      1 pg-node122
      10178734_785   regular smina_do  p275927  R    5:51:44      1 pg-node130
      10178734_783   regular smina_do  p275927  R    5:53:46      1 pg-node118
      10178734_819   regular smina_do  p275927  R    5:31:22      1 pg-node069
      10178734_820   regular smina_do  p275927  R    5:31:22      1 pg-node069
      10178734_822   regular smina_do  p275927  R    5:31:22      1 pg-node091
      10178734_823   regular smina_do  p275927  R    5:31:22      1 pg-node100
      10178734_828   regular smina_do  p275927  R    5:31:22      1 pg-node157
      10178734_816   regular smina_do  p275927  R    5:34:25      1 pg-node093
      10178734_810   regular smina_do  p275927  R    5:39:31      1 pg-node185
      10178734_853   regular smina_do  p275927  R    5:26:17      1 pg-node180
      10178734_847   regular smina_do  p275927  R    5:27:18      1 pg-node067
      10178734_834   regular smina_do  p275927  R    5:29:20      1 pg-node024
      10178734_835   regular smina_do  p275927  R    5:29:20      1 pg-node046
      10178734_836   regular smina_do  p275927  R    5:29:20      1 pg-node085
      10178734_838   regular smina_do  p275927  R    5:29:20      1 pg-node147
      10178734_839   regular smina_do  p275927  R    5:29:20      1 pg-node043
      10178734_841   regular smina_do  p275927  R    5:29:20      1 pg-node133
      10178734_842   regular smina_do  p275927  R    5:29:20      1 pg-node134
      10178734_829   regular smina_do  p275927  R    5:30:21      1 pg-node053
      10178734_831   regular smina_do  p275927  R    5:30:21      1 pg-node057
      10178734_832   regular smina_do  p275927  R    5:30:21      1 pg-node130
      10178734_833   regular smina_do  p275927  R    5:30:21      1 pg-node175
