pi_stack,salt_bridge_A,salt_bridge_B,h_bond_A,h_bond_B,ZINC_ID,pose
0,0,0,1,0,80569226,325
1,0,0,0,1,70953630,323
1,0,0,0,0,79809855,112
1,0,0,1,0,65666071,181
1,0,0,0,0,70953630,324
1,0,0,0,0,36161037,191
0,0,0,1,1,80569226,328
1,0,0,0,0,88603806,74
1,0,0,1,0,69870245,233
1,0,0,1,1,93324563,136
1,0,0,0,0,69870245,221
1,0,0,1,0,12779686,367
1,0,0,0,0,75327007,347
1,0,0,0,0,06433932,337
1,1,1,0,0,46280038,48
0,0,0,1,0,73660050,101
0,0,0,0,0,59486996,178
1,0,0,0,0,70953630,320
1,0,0,0,0,68060701,360
1,0,0,1,1,93324563,135
1,0,0,0,0,74745932,228
1,0,0,0,0,06797245,42
1,0,0,1,0,31665880,192
0,0,0,1,0,67332079,161
1,0,0,0,0,80500801,4
0,0,0,1,0,12779686,356
1,0,1,0,0,92473201,188
0,0,0,0,0,88603806,75
1,0,1,0,0,64571146,317
1,0,0,1,0,41563063,91
1,0,0,0,0,36711820,60
1,0,0,0,0,26221786,392
1,0,0,0,0,67561565,343
0,0,0,0,0,69540964,97
1,0,1,1,0,93250295,395
0,0,0,0,0,57952158,295
1,0,0,0,0,93563659,110
1,0,0,0,0,74042873,252
0,0,0,1,0,31811525,375
1,0,0,0,0,66390362,245
1,0,0,0,0,19131878,68
0,0,0,0,0,63405390,311
1,0,0,0,0,68412102,12
0,0,0,0,0,68771030,54
1,1,1,0,0,69410818,400
1,0,0,0,0,45966203,119
1,0,0,0,0,92193065,160
1,0,0,1,0,10324975,372
1,0,0,0,0,92261619,286
1,0,0,1,0,68083141,20
0,0,0,0,0,69870245,255
1,0,0,1,0,88603806,72
1,0,0,1,0,72283873,89
1,0,0,0,0,45510969,258
1,0,0,0,0,65361471,39
0,0,0,0,0,78153998,30
1,0,0,0,0,71884813,115
0,0,0,0,0,03428204,370
1,0,0,0,0,54487018,268
0,0,0,0,0,74042873,253
0,0,0,1,0,66059721,238
1,0,0,0,0,92424903,203
1,0,0,0,0,06433932,339
1,0,0,1,0,72283873,85
0,0,0,0,0,67478969,129
0,0,0,0,0,62264378,142
1,0,0,0,0,45966203,118
1,0,0,1,0,68083141,19
0,0,0,1,0,79867099,155
1,0,0,0,0,72056290,352
0,1,1,0,0,90006344,25
1,0,0,1,0,75036519,165
1,0,0,0,0,92261619,289
1,0,0,0,0,70971758,125
1,0,0,1,0,10324975,373
1,0,0,0,0,66059721,240
1,0,0,0,0,31665880,195
1,0,0,1,1,42043079,205
0,0,0,0,0,78529165,303
1,0,0,0,0,75327007,348
1,0,0,0,0,59746667,276
1,0,0,0,0,20995798,248
1,0,0,0,0,80500801,5
0,0,0,0,0,92424903,204
1,0,0,0,0,36161037,189
1,0,0,0,0,93250295,396
0,0,0,0,0,36676055,217
1,0,0,0,0,32903688,362
0,0,0,0,0,03428204,369
1,0,0,0,0,74745932,229
0,0,0,1,0,12779686,378
1,0,0,0,0,62264378,139
1,0,0,0,0,20995798,249
1,0,0,0,0,71884813,113
1,0,0,0,0,90006344,26
1,0,0,0,0,55644739,184
1,0,0,0,0,93563659,99
1,0,0,0,0,78529165,304
0,0,0,0,0,64831847,333
1,0,0,0,0,79809855,107
1,0,0,0,0,45966203,120
1,0,0,0,0,68771030,57
1,0,0,1,0,72283873,86
0,1,1,0,0,09385348,50
1,0,0,1,0,67197628,397
1,0,0,0,0,92261619,287
0,0,0,0,0,66271941,290
1,0,0,0,0,92193065,157
0,0,0,0,0,73660050,100
0,0,0,0,0,93563659,122
0,0,0,0,0,75327007,344
1,0,0,0,0,09385348,52
1,0,0,1,0,10324975,371
1,0,0,0,0,67513853,196
0,0,0,0,0,69540964,94
1,0,0,1,0,67561565,342
1,0,0,1,0,42043079,206
1,1,1,0,0,92473201,177
1,0,0,0,0,73883349,218
1,0,0,0,0,92473201,210
1,0,0,0,0,00537191,281
0,0,0,0,0,91192008,145
0,0,0,1,0,59486996,174
1,0,0,0,0,73883349,219
1,0,1,0,0,69410818,11
0,0,0,1,0,59486996,175
1,0,0,0,0,70971758,124
1,0,0,1,0,41563063,92
1,0,0,0,0,69410818,33
1,0,0,1,0,42043079,208
1,0,0,0,0,55644739,185
0,0,0,0,0,68083141,21
1,0,0,0,0,73009154,321
1,1,1,1,0,57952158,297
0,0,0,0,0,74085559,6
1,0,1,0,0,69631972,312
1,0,0,0,0,73883349,223
1,0,0,0,0,00537191,284
0,0,0,1,0,05910066,274
1,0,0,0,0,74410063,209
1,0,0,0,0,06797245,41
0,0,0,0,0,12121666,383
1,0,0,1,0,67513161,130
1,0,0,0,0,91587221,36
1,0,0,1,1,67332079,162
1,0,0,0,1,45510969,257
1,0,0,0,0,91087894,330
1,0,0,0,0,71831325,103
0,0,0,0,0,69631972,315
0,0,0,0,0,91087894,331
0,0,0,0,0,69540964,95
0,0,0,0,0,79867099,144
1,0,0,0,0,07420602,173
0,0,0,0,0,54487018,271
1,0,0,0,0,16651196,154
0,0,0,0,0,06433932,338
1,0,0,0,0,92574638,298
1,0,0,0,0,67939312,262
0,0,0,0,0,74488443,16
1,0,0,0,0,26221786,390
1,0,0,1,0,67332079,163
1,0,0,1,0,64406539,148
0,1,1,0,0,94081766,299
1,0,0,0,0,12695391,357
0,0,0,0,0,79867099,166
0,0,0,1,0,88603806,73
1,0,0,0,0,65361471,37
1,0,0,0,0,74410063,212
0,0,0,0,1,68771030,56
1,0,0,0,0,16651196,156
0,0,0,0,0,26221786,391
1,0,0,0,0,36711820,61
1,0,0,0,0,06433932,336
1,0,0,1,0,36676055,214
1,0,0,0,0,91192008,147
0,0,0,0,0,74085559,8
0,0,1,0,0,91087894,329
0,0,0,1,1,dimer,nosolvent
1,0,0,0,0,84219765,232
1,0,0,0,0,66390362,241
0,0,0,0,0,03428204,366
1,0,0,1,0,80500801,2
1,0,0,0,0,31665880,193
1,1,1,0,0,74574902,84
1,0,0,0,0,66390362,243
0,0,1,0,0,80500801,3
1,0,0,0,0,22550957,66
1,0,0,0,0,54487018,269
1,0,0,1,0,75036519,168
0,0,0,0,0,57952158,296
0,0,0,0,0,66271941,292
1,0,0,0,0,73009154,335
0,0,0,1,0,75327007,346
0,0,0,0,0,74488443,15
0,0,0,0,0,68083141,23
0,0,0,1,0,74042873,251
1,0,0,0,0,12695391,355
1,0,0,0,0,54487018,270
1,0,0,1,0,79867099,133
1,0,0,1,0,75036519,167
1,0,0,0,0,20995798,247
1,0,0,0,0,00537191,282
1,0,0,1,1,42043079,207
1,0,0,0,0,66059721,239
1,0,0,0,0,71831325,105
